ts_code,open,high,low,close,change,pct_chg,amount
002090.SZ,7.57,7.68,7.47,7.66,0.08,1.0554,11466.483
002091.SZ,6.96,7.13,6.95,7.08,0.13,1.8705,108598.104
002092.SZ,8.98,9.17,8.95,9.13,0.13,1.4444,377555.068
002093.SZ,6.06,6.09,6.01,6.03,-0.03,-0.495,22816.746
002094.SZ,3.3,3.3,3.16,3.2,-0.12,-3.6145,41239.71
002095.SZ,14.2,14.2,13.66,13.76,-0.41,-2.8934,40472.322
002096.SZ,7.72,7.8,7.5,7.62,-0.1,-1.2953,35570.003
002097.SZ,8.06,8.1,7.86,8.09,0.02,0.2478,101150.994
002098.SZ,5.92,5.93,5.77,5.79,-0.11,-1.8644,14170.837
002099.SZ,10.75,10.94,10.63,10.86,0.03,0.277,162179.131
002100.SZ,10.27,10.27,10.1,10.13,-0.14,-1.3632,89706.952
002101.SZ,7.57,7.57,7.3,7.35,-0.16,-2.1305,56971.259
002102.SZ,2.05,2.07,1.99,2.01,-0.05,-2.4272,44408.019
002103.SZ,4.19,4.24,4.06,4.14,-0.06,-1.4286,52419.335
002104.SZ,5.86,6.03,5.82,6.03,0.15,2.551,52549.614
002105.SZ,8.46,8.5,8.15,8.35,-0.14,-1.649,40261.092
002106.SZ,12.28,12.36,12.06,12.13,-0.11,-0.8987,164044.571
002107.SZ,7.58,7.64,7.45,7.57,-0.04,-0.5256,17379.769
002108.SZ,4.53,4.53,4.39,4.45,-0.08,-1.766,97784.638
002109.SZ,4.63,4.71,4.55,4.66,0.0,0.0,106210.452
002110.SZ,8.41,8.63,8.27,8.38,-0.02,-0.2381,291001.262
002111.SZ,19.13,19.23,18.78,19.09,-0.17,-0.8827,73215.325
002112.SZ,7.11,7.17,7.02,7.16,0.04,0.5618,12470.891
002113.SZ,1.5,1.54,1.45,1.54,0.03,1.9868,30154.901
002114.SZ,6.38,6.54,6.32,6.45,0.1,1.5748,38397.035
002115.SZ,5.33,5.35,5.21,5.25,-0.08,-1.5009,26866.359
002116.SZ,6.11,6.13,6.03,6.1,-0.02,-0.3268,4972.57
002117.SZ,8.49,8.73,8.43,8.69,0.21,2.4764,83756.203
002118.SZ,3.12,3.13,3.05,3.08,-0.04,-1.2821,53226.473
002119.SZ,10.88,11.0,10.53,10.7,-0.16,-1.4733,166743.532
002120.SZ,16.08,16.34,15.46,15.9,0.26,1.6624,792723.721
002121.SZ,3.65,3.66,3.56,3.6,-0.04,-1.0989,21106.662
002122.SZ,2.99,3.13,2.99,3.03,0.05,1.6779,76200.294
002123.SZ,14.99,14.99,14.2,14.38,-0.51,-3.4251,105290.904
002124.SZ,14.62,14.73,14.16,14.34,-0.25,-1.7135,293287.879
002125.SZ,7.08,7.12,6.83,6.91,-0.18,-2.5388,66016.861
002126.SZ,10.5,10.57,9.91,10.03,-0.49,-4.6578,134436.012
002127.SZ,8.04,8.43,7.86,8.32,0.24,2.9703,842073.621
002128.SZ,10.71,10.89,10.46,10.73,0.03,0.2804,252766.394
002129.SZ,28.01,28.94,27.54,27.79,0.34,1.2386,1602180.647
002130.SZ,6.45,6.48,6.26,6.36,-0.13,-2.0031,191730.075
002131.SZ,2.58,2.61,2.57,2.59,0.0,0.0,173962.45
002132.SZ,3.25,3.26,3.11,3.14,-0.12,-3.681,129370.205
002133.SZ,2.95,3.02,2.93,2.98,0.04,1.3605,29700.97
002134.SZ,8.47,8.5,8.24,8.32,-0.2,-2.3474,8761.524
002135.SZ,7.3,7.56,7.15,7.24,0.19,2.695,121189.791
002136.SZ,9.45,9.59,9.11,9.25,-0.25,-2.6316,74080.941
002137.SZ,5.72,5.72,5.48,5.57,-0.25,-4.2955,114602.157
002138.SZ,35.25,35.89,34.81,34.83,-0.31,-0.8822,309936.041
002139.SZ,13.55,13.83,13.4,13.6,0.16,1.1905,501178.15
002140.SZ,6.6,6.62,6.46,6.49,-0.12,-1.8154,12939.967
002141.SZ,2.87,2.92,2.75,2.78,-0.09,-3.1359,61653.717
002142.SZ,41.71,41.8,41.0,41.27,-0.44,-1.0549,661834.838
002144.SZ,8.68,8.69,8.5,8.55,-0.13,-1.4977,13381.643
002145.SZ,10.6,11.29,10.55,10.79,-0.1,-0.9183,838998.129
002146.SZ,6.39,6.44,6.36,6.44,0.04,0.625,85274.737
002147.SZ,1.72,1.81,1.72,1.81,0.09,5.2326,36231.158
002148.SZ,4.18,4.19,4.09,4.12,-0.07,-1.6706,18476.772
002149.SZ,12.83,13.6,12.75,13.58,0.75,5.8457,296727.366
