date,close,high,low,open,preclose,pctChg,volume,amount
1997-07-18,1209.86,1210.44,1191.29,1199.4,1197.23,1.054936,476596400,5982633984.0
1997-07-21,1193.53,1218.48,1188.88,1215.84,1209.86,-1.349739,494028000,5993836544.0
1997-07-22,1208.25,1208.26,1163.47,1189.12,1193.53,1.233314,455263000,5444710912.0
1997-07-23,1198.86,1223.82,1194.7,1219.06,1208.25,-0.777158,480842400,5461629440.0
1997-07-24,1174.22,1200.31,1172.37,1194.71,1198.86,-2.055287,332595700,3820911104.0
1997-07-25,1170.86,1177.65,1158.14,1166.57,1174.22,-0.286146,311225300,3445143040.0
1997-07-28,1141.78,1167.88,1138.48,1167.81,1170.86,-2.483641,305953700,3327072512.0
1997-07-29,1153.23,1161.2,1133.18,1137.32,1141.78,1.002816,303311200,2967735296.0
1997-07-30,1179.42,1179.48,1157.0,1157.09,1153.23,2.271018,365235100,3508086272.0
1997-07-31,1189.76,1192.2,1179.72,1184.94,1179.42,0.876699,376326500,3644509184.0
1997-08-01,1192.83,1194.03,1182.22,1191.65,1189.76,0.258031,328647800,3105525760.0
1997-08-04,1200.33,1201.92,1188.68,1196.25,1192.83,0.628757,432669000,4201353984.0
1997-08-05,1196.27,1207.23,1193.7,1203.36,1200.33,-0.338235,359745600,3481090304.0
1997-08-06,1171.94,1197.45,1170.27,1196.04,1196.27,-2.0338279999999997,297232000,2869078784.0
1997-08-07,1199.24,1199.24,1161.63,1167.93,1171.94,2.329475,344869800,3132656640.0
1997-08-08,1206.05,1216.56,1201.36,1205.95,1199.24,0.567864,703374000,5940436992.0
1997-08-11,1184.08,1206.76,1182.45,1206.46,1206.05,-1.821657,503650800,4929063424.0
1997-08-12,1146.81,1183.44,1145.75,1177.26,1184.08,-3.147583,393690100,3871581696.0
1997-08-13,1120.13,1153.5,1118.2,1139.25,1146.81,-2.326458,346081500,3209822208.0
1997-08-14,1168.11,1168.34,1120.25,1120.47,1120.13,4.28343,395297000,3598622976.0
1997-08-15,1143.06,1174.88,1133.89,1174.18,1168.11,-2.144484,476761400,3827543808.0
1997-08-18,1134.63,1139.61,1116.15,1139.61,1143.06,-0.737499,335746400,2998716160.0
1997-08-19,1132.91,1143.2,1128.11,1134.62,1134.63,-0.151589,257198000,2344032256.0
