ts_code,name,result_2019
002602.SZ,世纪华通,-0.36206587095037246
002608.SZ,江苏国信,-0.15686274509803907
002615.SZ,哈尔斯,-0.19316254111130338
002616.SZ,长青集团,-0.007949996223279736
002618.SZ,丹邦科技,-0.6958092485549133
002619.SZ,艾格拉斯,-0.6028985507246376
002620.SZ,瑞和股份,-0.015278040178852613
002621.SZ,美吉姆,-0.20414997323112094
002622.SZ,融钰集团,-0.35692307692307695
002628.SZ,成都路桥,-0.2726721466109689
002629.SZ,ST仁智,-0.5408163265306122
002630.SZ,华西能源,-0.11340206185567003
002631.SZ,德尔未来,-0.07252410166520575
002632.SZ,道明光学,-0.06202790021776701
002633.SZ,申科股份,-0.19680196801968017
002638.SZ,*ST勤上,-0.279245283018868
002640.SZ,跨境通,-0.6404722083369352
002642.SZ,荣联科技,-0.36842105263157887
002644.SZ,佛慈制药,-0.035972445855278694
002647.SZ,仁东控股,-0.09380595724135712
002652.SZ,扬子新材,-0.0909090909090909
002654.SZ,万润科技,-0.12531328320802007
002656.SZ,ST摩登,-0.7309644670050761
002657.SZ,中科金财,-0.18459191456903135
002659.SZ,凯文教育,-0.4364864864864865
002662.SZ,京威股份,-0.1150942676755294
002663.SZ,普邦股份,-0.31128404669260695
002665.SZ,首航高科,-0.19148936170212774
002670.SZ,国盛金控,-0.04706927175843694
002671.SZ,龙泉股份,-0.009478672985781976
002672.SZ,东江环保,-0.3370618302831517
002679.SZ,福建金森,-0.3782887982098197
002682.SZ,龙洲股份,-0.2618845943165573
002684.SZ,ST猛狮,-0.6639741518578353
002685.SZ,华东重机,-0.23107995197016398
002686.SZ,亿利达,-0.25164193619508135
002687.SZ,乔治白,-0.02718182819518059
002689.SZ,远大智能,-0.11560693641618502
002691.SZ,冀凯股份,-0.43116678536606723
002692.SZ,ST远程,-0.37901498929336197
002694.SZ,顾地科技,-0.46924829157175396
002696.SZ,百洋股份,-0.40461349193289287
002699.SZ,美盛文化,-0.05667276051188289
002700.SZ,ST浩源,-0.6166228685033422
002707.SZ,众信旅游,-0.07146690096826305
002708.SZ,光洋股份,-0.2466585662211422
002712.SZ,思美传媒,-0.26106449418748445
002713.SZ,东易日盛,-0.29820724688151035
002716.SZ,*ST金贵,-0.6493688639551193
002717.SZ,岭南股份,-0.5040645629400717
002718.SZ,友邦吊顶,-0.17001591353234408
002719.SZ,*ST麦趣,-0.24823321554770314
002721.SZ,金一文化,-0.5899390243902439
002722.SZ,金轮股份,-0.20115911016606136
002725.SZ,跃岭股份,-0.11189684744869416
002731.SZ,萃华珠宝,-0.39704683664871593
002739.SZ,万达电影,-0.1671258034894399
002740.SZ,爱迪尔,-0.2501596960421229
002741.SZ,光华科技,-0.09811728637174687
002742.SZ,三圣股份,-0.2848195064032979
002748.SZ,世龙实业,-0.041427760905116275
002751.SZ,易尚展示,-0.13827249820461712
002752.SZ,昇兴股份,-0.23100487942861186
002753.SZ,永东股份,-0.05420256144634292
002761.SZ,多喜爱,-0.15138784093449598
002765.SZ,蓝黛科技,-0.060509554140127354
002766.SZ,*ST索菱,-0.2158671586715867
002767.SZ,先锋电子,-0.3010738335350894
002769.SZ,普路通,-0.3550584042763809
002770.SZ,ST科迪,-0.3221246743733206
002773.SZ,康弘药业,-0.1760901146874382
002774.SZ,快意电梯,-0.24335088429863627
002775.SZ,文科园林,-0.013602607552271466
002776.SZ,ST柏龙,-0.7548327361709246
002779.SZ,中坚科技,-0.2691526120032574
002781.SZ,奇信股份,-0.506209935897436
002782.SZ,可立克,-0.05065394070659047
002787.SZ,华源控股,-0.10276702889692596
002789.SZ,建艺集团,-0.18271234174014922
002790.SZ,瑞尔特,-0.09989621310281599
002792.SZ,通宇通讯,-0.26362357503784545
002795.SZ,永和智控,-0.2907179948819326
002796.SZ,世嘉科技,-0.3338727177491768
002806.SZ,华锋股份,-0.4036417321541858
002807.SZ,江阴银行,-0.03518534683426461
002808.SZ,恒久科技,-0.2014672452986156
002811.SZ,郑中设计,-0.34043673171763006
002815.SZ,崇达技术,-0.14880984842081157
002820.SZ,桂发祥,-0.16122066823142336
002826.SZ,易明医药,-0.10361579297522029
002828.SZ,贝肯能源,-0.3000134716421933
002830.SZ,名雕股份,-0.3364599480400798
002836.SZ,新宏泽,-0.21286380371395566
002839.SZ,张家港行,-0.04699449946808965
002848.SZ,高斯贝尔,-0.1737556561085973
002849.SZ,威星智能,-0.20314916871208252
002856.SZ,美芝股份,-0.4380125422093584
002858.SZ,力盛赛车,-0.04493829124148172
002861.SZ,瀛通通讯,-0.07131626532368116
002862.SZ,实丰文化,-0.3219680337226661
002863.SZ,今飞凯达,-0.197119936220041
002864.SZ,盘龙药业,-0.20518580127768218
002865.SZ,钧达股份,-0.043068078520010815
002871.SZ,伟隆股份,-0.24812887376109966
002872.SZ,ST天圣,-0.4672036823935558
002875.SZ,安奈儿,-0.08074334781661657
002877.SZ,智能自控,-0.2787261939345096
002882.SZ,金龙羽,-0.11747436608008871
002883.SZ,中设股份,-0.05144812572842695
002885.SZ,京泉华,-0.020606879110766998
002888.SZ,惠威科技,-0.23142377372902864
002895.SZ,川恒股份,-0.13772361632054864
002896.SZ,中大力德,-0.18890506087106662
002898.SZ,赛隆药业,-0.2582436501702015
002899.SZ,英派斯,-0.1224509513183195
002902.SZ,铭普光磁,-0.2828685258964145
002903.SZ,宇环数控,-0.1675628005558953
002907.SZ,华森制药,-0.3433345795945495
002910.SZ,庄园牧场,-0.15892406813173923
002912.SZ,中新赛克,-0.1270209986856718
002917.SZ,金奥博,-0.07604877565808327
002921.SZ,联诚精密,-0.10546375807903972
002922.SZ,伊戈尔,-0.07133185349611565
002927.SZ,泰永长征,-0.45571919131692556
002929.SZ,润建股份,-0.2047577152897235
002931.SZ,锋龙股份,-0.1526787416587225
002933.SZ,新兴装备,-0.3970021697203472
002935.SZ,天奥电子,-0.07755595344673238
002936.SZ,郑州银行,-0.18542256214149136
002939.SZ,长城证券,-0.04345471180237888
002940.SZ,昂利康,-0.01169768099547525
002941.SZ,新疆交建,-0.5613576816196904
002942.SZ,新农股份,-0.09567859751643532
002943.SZ,宇晶股份,-0.4914607087827428
300011.SZ,鼎汉技术,-0.20314960629921255
300013.SZ,新宁物流,-0.054504986517142466
300017.SZ,网宿科技,-0.31604473044840614
300024.SZ,机器人,-0.2585330428467683
300025.SZ,华星创业,-0.28260869565217384
300027.SZ,华谊兄弟,-0.07964601769911497
300036.SZ,超图软件,-0.0716414298309073
300038.SZ,ST数知,-0.7366511473229133
300043.SZ,星辉娱乐,-0.07563530997915342
300044.SZ,赛为智能,-0.24582544802344264
300047.SZ,天源迪科,-0.11457864536453632
300049.SZ,福瑞股份,-0.09266802443991846
300050.SZ,世纪鼎利,-0.16984402079722702
300051.SZ,ST三五,-0.5048387096774193
300052.SZ,中青宝,-0.34418708310088475
300053.SZ,欧比特,-0.006441667981713067
300055.SZ,万邦达,-0.10646011697943164
300057.SZ,万顺新材,-0.10734983780194336
300064.SZ,*ST金刚,-0.5756717295746745
300065.SZ,海兰信,-0.020925819894164283
300068.SZ,南都电源,-0.18479880774962748
300070.SZ,碧水源,-0.09986480520913812
300071.SZ,*ST嘉信,-0.5376044568245125
300072.SZ,三聚环保,-0.41993109272366963
300074.SZ,华平股份,-0.03733333333333335
300075.SZ,数字政通,-0.09773773664295489
300077.SZ,国民技术,-0.14211212516297256
300078.SZ,思创医惠,-0.2664463480184801
300084.SZ,海默科技,-0.2052700878806122
300094.SZ,国联水产,-0.26474325327734527
300096.SZ,易联众,-0.08599508599508592
300097.SZ,智云股份,-0.3494809688581316
300098.SZ,高新兴,-0.3714757512100195
300100.SZ,双林股份,-0.046303501945525516
300107.SZ,建新股份,-0.37559970917666163
300108.SZ,吉药控股,-0.43426294820717126
300109.SZ,新开源,-0.055467976979773
300113.SZ,顺网科技,-0.07603482022965637
300117.SZ,嘉寓股份,-0.17216119684614864
300128.SZ,锦富技术,-0.059459459459459664
300130.SZ,新国都,-0.05691047130718719
300133.SZ,华策影视,-0.14058095358539988
300134.SZ,大富科技,-0.03497267759562835
300135.SZ,宝利国际,-0.20482871174239337
300137.SZ,先河环保,-0.11578466619695994
300139.SZ,晓程科技,-0.06532663316582916
300140.SZ,中环装备,-0.37222222222222223
300145.SZ,中金环境,-0.13366136403032391
300148.SZ,天舟文化,-0.3326315789473685
300150.SZ,世纪瑞尔,-0.09132526428680872
300153.SZ,科泰电源,-0.2240163238045034
300157.SZ,恒泰艾普,-0.23866348448687363
300159.SZ,新研股份,-0.4366707850312227
300163.SZ,先锋新材,-0.034482758620689745
300164.SZ,通源石油,-0.4393768164843034
300166.SZ,东方国信,-0.15141134062602968
300167.SZ,迪威迅,-0.2495164410058027
300170.SZ,汉得信息,-0.34706777663260047
300173.SZ,福能东方,-0.050583657587548535
300176.SZ,派生科技,-0.8373205741626795
300178.SZ,腾邦国际,-0.6589497187444568
300180.SZ,华峰超纤,-0.2559152465003042
300182.SZ,捷成股份,-0.15898617511520743
300184.SZ,力源信息,-0.10870798270491407
300195.SZ,长荣股份,-0.33787128712871284
300197.SZ,节能铁汉,-0.15094777156104308
300199.SZ,翰宇药业,-0.46498905908096283
300201.SZ,海伦哲,-0.3620940927652505
300202.SZ,聚龙股份,-0.05230215017449061
300203.SZ,聚光科技,-0.4518638140849816
300204.SZ,舒泰神,-0.21556084172003653
300209.SZ,天泽信息,-0.3615332950236734
300210.SZ,森远股份,-0.17752808988764046
300213.SZ,佳讯飞鸿,-0.09887785687183315
300222.SZ,科大智能,-0.3497933070866141
300230.SZ,永利股份,-0.014806352395512609
300237.SZ,美晨生态,-0.3324175824175824
300240.SZ,飞力达,-0.2227496913164638
300245.SZ,天玑科技,-0.07726493968215303
300247.SZ,融捷健康,-0.1336898395721925
300250.SZ,初灵信息,-0.15412186379928328
300252.SZ,金信诺,-0.3605515873744516
300258.SZ,精锻科技,-0.058931077249145467
300262.SZ,巴安水务,-0.38661450924608814
300264.SZ,佳创视讯,-0.3045267489711935
300265.SZ,通光线缆,-0.1503716920317952
300266.SZ,兴源环境,-0.21680216802168017
300268.SZ,佳沃股份,-0.12920353982300892
300269.SZ,联建光电,-0.4548672566371682
